symmetry_flag,height_index,agility_score,coordination_Y,diet_signal_2,diet_signal_1,limb_ratio_B,dance_style,metabolic_balance,limb_ratio_A,behavioral_switch,bone_density,power_index,ancestral_code,coordination_X
True,99.58128,-1.32380,-1.56102,-3.10165,12.19193,199.66261,Slängpolskorgris,-91.35492,-0.66692,0,-104.95950,445.42663,CLAN_00420,1.14280
False,99.84023,0.36274,0.76500,0.05238,,199.91464,Slängpolskorgris,-89.91129,-0.66298,1,-97.67402,450.36415,CLAN_03195,-0.09276
True,99.56511,0.19706,1.00327,1.95847,11.71357,199.62666,Slängpolskorgris,-89.16835,-0.70803,1,-102.88297,446.38407,CLAN_08105,-0.04605
False,100.44178,-0.15796,1.20863,-0.15572,10.31375,200.52032,Polkagris,-89.10466,-0.66404,1,-100.36619,452.02582,CLAN_06177,1.89011
True,98.49523,1.10536,0.04088,-1.92745,8.96721,198.56856,Hambogris,-90.16194,-0.66536,1,-98.47067,443.24079,CLAN_05675,0.00290
False,102.74600,0.36712,0.37965,-3.90453,11.78066,202.83061,Polskorgris,-93.63413,-0.68706,0,-100.82972,463.31516,CLAN_06038,0.76657
False,99.96725,-0.47099,-0.90983,4.92447,11.84386,200.01181,Slängpolskorgris,-88.32876,-0.72293,0,-105.99431,446.83910,CLAN_01177,-0.85193
False,99.47266,0.09888,0.99454,-0.00201,9.95786,199.53040,Slängpolskorgris,-90.21114,-0.71033,1,-103.24231,445.74217,CLAN_00577,0.16363
False,99.36906,0.26929,-0.27263,1.31874,10.01764,199.41435,Slängpolskorgris,-90.82587,-0.67911,1,-100.74585,446.47238,CLAN_10047,0.19067
True,99.42466,-1.05051,0.19393,-2.42698,10.47076,199.47476,Slängpolskorgris,-88.67602,-0.70407,0,-92.93452,450.65606,CLAN_05670,-0.28296
True,100.55134,0.79143,0.34266,-1.19085,11.06857,200.61093,Polkagris,-90.04490,-0.66958,0,-100.68260,452.41541,CLAN_00781,0.92811
False,100.04109,-0.33115,0.92157,-0.51905,,200.11835,Polkagris,-92.59413,-0.68023,1,-100.93948,449.73569,CLAN_10012,-1.59088
True,100.40497,0.15358,0.69686,-0.27216,11.62314,200.46674,Polkagris,-90.07489,-0.66817,0,-98.44869,452.80051,CLAN_00193,-1.08032
False,99.99829,0.93228,-0.26035,1.67184,12.31184,200.05183,Polkagris,-90.16511,-0.68695,0,-102.02859,448.97716,CLAN_08432,-0.30592
True,99.00292,-0.88967,0.05782,1.88201,13.64412,199.06483,Slängpolskorgris,-89.69920,-0.71585,0,-96.88688,446.57114,CLAN_01078,-0.72844
True,100.52583,0.44479,-1.23038,-1.95042,,200.59770,Polkagris,-93.51645,-0.68454,0,-98.42128,453.41851,CLAN_00769,2.55890
False,98.67014,0.83236,0.71511,-1.15166,11.20933,198.72212,Hambogris,-89.60857,-0.70733,1,-92.60940,447.04600,CLAN_05605,0.36481
False,99.67812,-0.73413,0.46587,-0.16844,11.62674,199.73057,Slängpolskorgris,-88.65053,-0.66237,0,-98.23099,449.27510,CLAN_06488,0.93755
True,98.61597,-0.83134,0.70924,4.02159,9.84697,198.65397,Hambogris,-90.50824,-0.68109,0,-98.13284,444.01340,CLAN_01885,-0.93262
True,98.71961,0.31988,-0.18478,0.62727,12.87862,198.76287,Hambogris,-89.80550,-0.67511,1,-98.66063,444.26774,CLAN_04020,1.27972
False,100.22595,0.07712,0.13674,-2.60150,,200.30267,Polkagris,-92.60480,-0.66875,0,-100.38223,450.93863,CLAN_10232,-0.06565
