species,symmetry_flag,height_index,agility_score,coordination_Y,diet_signal_2,diet_signal_1,limb_ratio_B,dance_style,metabolic_balance,limb_ratio_A,behavioral_switch,bone_density,power_index,ancestral_code,coordination_X
Student,False,98.92407,-0.06762,-0.59013,1.77087,11.84152,198.97271,Hambogris,-88.51839,-0.71224,0,-98.86502,445.18782,CLAN_08410,-0.64417
Giant,True,99.84406,-0.23244,-0.60974,2.32211,10.23298,199.92758,Slängpolskorgris,-88.68552,-0.66274,0,-100.90127,448.76966,CLAN_01020,-1.74136
Giant,True,100.50429,-0.27371,-3.23749,-0.25182,13.16544,200.56427,Polkagris,-89.78098,-0.67929,1,-99.39022,452.82633,CLAN_07748,-2.05390
Giant,False,100.03798,0.34016,0.59942,3.60514,9.32427,200.08550,Polkagris,-89.74940,-0.68214,0,-99.96046,450.20969,CLAN_08755,1.79205
Student,True,99.32420,-0.70011,0.45076,1.53340,11.16554,199.35797,Slängpolskorgris,-88.62465,-0.68906,0,-100.50562,446.36817,CLAN_10619,0.99167
Student,False,99.43192,-0.00973,-0.10131,-3.19734,12.10905,199.47375,Slängpolskorgris,-91.84537,-0.69589,0,-98.33536,447.99190,CLAN_07350,-0.08008
Giant,False,100.97667,-0.62184,0.33003,-1.34526,13.07210,201.02470,Polkagris,-93.33736,-0.69623,1,-98.95192,455.40740,CLAN_04754,-0.93785
Vampire,False,99.52133,-0.36464,1.10471,-1.23872,8.85172,199.59801,Slängpolskorgris,-88.96372,-0.68129,0,-101.62084,446.79621,CLAN_10882,-0.72850
Student,True,99.92956,-0.13773,0.35868,-2.66974,11.39914,199.96986,Slängpolskorgris,-90.72328,-0.66995,0,-102.17531,448.56016,CLAN_09128,-0.27690
Vampire,True,100.06852,-0.38388,-0.62790,-2.82845,,200.14558,Polkagris,-92.31808,-0.66374,1,-100.20268,450.24126,CLAN_04289,0.37543
Vampire,False,98.97918,0.21397,1.23932,-3.46868,,199.06332,Hambogris,-89.06450,-0.68398,1,-98.85040,445.47069,CLAN_01442,-0.86971
Giant,True,99.12424,0.47255,1.69665,-0.94000,10.73549,199.20718,Slängpolskorgris,-93.75799,-0.63497,1,-97.31268,446.96485,CLAN_09714,-0.73840
Vampire,False,98.75819,-0.32861,3.34364,-3.29007,,198.83207,Hambogris,-91.36520,-0.66008,0,-96.04006,445.77091,CLAN_10678,-2.39478
Student,True,98.02599,-0.61383,-0.04512,3.09629,11.67360,198.08231,Hambogris,-88.07639,-0.71438,0,-100.11036,440.07475,CLAN_04031,-0.11510
