iter	Accuracy	MultiClass
0	0.7180451128	1.066618609
1	0.7644110276	1.035455327
2	0.7619047619	1.007930045
3	0.7581453634	0.9840878305
4	0.7568922306	0.9559380497
5	0.7543859649	0.9304981458
6	0.7606516291	0.9105234528
7	0.7669172932	0.8890727275
8	0.7769423559	0.8674879682
9	0.7656641604	0.8507411195
10	0.7719298246	0.8317065269
11	0.7756892231	0.8115129836
12	0.7719298246	0.7968759166
13	0.7769423559	0.7812501764
14	0.7769423559	0.769930714
15	0.7832080201	0.7581998957
16	0.7857142857	0.743976662
17	0.7919799499	0.7308752737
18	0.7894736842	0.7198233989
19	0.790726817	0.7114202356
20	0.7957393484	0.6974680343
21	0.8032581454	0.6864125694
22	0.798245614	0.6768181654
23	0.798245614	0.6679033455
24	0.8020050125	0.6591111908
25	0.8045112782	0.6525080181
26	0.805764411	0.6445896238
27	0.8082706767	0.6378582829
28	0.8045112782	0.6299039
29	0.8070175439	0.6243146103
30	0.8107769424	0.617107491
31	0.8270676692	0.6066511195
32	0.828320802	0.6018390147
33	0.828320802	0.5954762073
34	0.8333333333	0.5865756403
35	0.8308270677	0.580864134
36	0.8308270677	0.5758268323
37	0.8308270677	0.5691990624
38	0.8345864662	0.5637333823
39	0.8370927318	0.5591406577
40	0.835839599	0.551605415
41	0.8383458647	0.5462503231
42	0.843358396	0.5415848256
43	0.8395989975	0.5369281017
44	0.843358396	0.5333014682
45	0.843358396	0.5284195406
46	0.843358396	0.5246645374
47	0.8446115288	0.5207217643
48	0.8458646617	0.5158407213
49	0.8483709273	0.5116531226
50	0.8521303258	0.5075889061
51	0.8533834586	0.5037818642
52	0.8546365915	0.5007581212
53	0.8546365915	0.4980917944
54	0.8533834586	0.4951587951
55	0.8558897243	0.492176894
56	0.85839599	0.4891377697
57	0.8546365915	0.4860889476
58	0.8609022556	0.4824484752
59	0.8634085213	0.47822198
60	0.865914787	0.4749515058
61	0.8696741855	0.4714909225
62	0.865914787	0.4679902229
63	0.8684210526	0.4648053293
64	0.8671679198	0.4622346198
65	0.8671679198	0.4592732802
66	0.8696741855	0.4562359314
67	0.8709273183	0.4528322785
68	0.873433584	0.4501055941
69	0.8721804511	0.4476478804
70	0.873433584	0.4448502833
71	0.8746867168	0.4429076782
72	0.873433584	0.4404889549
73	0.8746867168	0.4374193615
74	0.8771929825	0.4354912115
75	0.8771929825	0.4325455621
76	0.8784461153	0.4305052249
77	0.8796992481	0.428700606
78	0.880952381	0.4269133797
79	0.8796992481	0.4231212101
80	0.8822055138	0.4207025618
81	0.8834586466	0.4182214385
82	0.8872180451	0.4153214504
83	0.8872180451	0.4131564543
84	0.8897243108	0.4117879275
85	0.8884711779	0.409496591
86	0.8897243108	0.407499012
87	0.8909774436	0.4049468607
88	0.8922305764	0.4036143432
89	0.8922305764	0.4017930987
90	0.8959899749	0.3999207683
91	0.8947368421	0.39824447
92	0.8947368421	0.3962452553
93	0.8947368421	0.3940454848
94	0.8947368421	0.3919351772
95	0.8972431078	0.3903377103
96	0.8959899749	0.388580812
97	0.8959899749	0.3867334476
98	0.8984962406	0.3838620474
99	0.9010025063	0.3814383164
100	0.8997493734	0.3785873928
101	0.9047619048	0.3771137873
102	0.9035087719	0.3752636665
103	0.9047619048	0.3732736494
104	0.9060150376	0.371872157
105	0.9060150376	0.3703600583
106	0.9060150376	0.3690354042
107	0.9085213033	0.3675428904
108	0.9085213033	0.365915335
109	0.9085213033	0.3645033047
110	0.9085213033	0.3627249757
111	0.9097744361	0.3616519258
112	0.9085213033	0.359742674
113	0.9085213033	0.3586614658
114	0.9085213033	0.3570932054
115	0.9097744361	0.3548200786
116	0.9097744361	0.3537252917
117	0.9097744361	0.3525710504
118	0.9097744361	0.3512707308
119	0.9110275689	0.3497764516
120	0.9135338346	0.3486985251
121	0.9122807018	0.347201335
122	0.9147869674	0.3454620171
123	0.9135338346	0.3428043636
124	0.9147869674	0.3409539816
125	0.9147869674	0.339523421
126	0.9147869674	0.3383750998
127	0.9147869674	0.3372084588
128	0.9135338346	0.3361454731
129	0.9135338346	0.3353260223
130	0.9135338346	0.3330219135
131	0.9172932331	0.3316726718
132	0.9172932331	0.3300327824
133	0.9172932331	0.3278624595
134	0.9185463659	0.326244983
135	0.9185463659	0.3237368171
136	0.9185463659	0.3227236722
137	0.9172932331	0.3211877331
138	0.9197994987	0.3200800617
139	0.9197994987	0.3184284928
140	0.9197994987	0.3173397294
141	0.9185463659	0.3159098216
142	0.9197994987	0.3146146699
143	0.9185463659	0.3133273917
144	0.9185463659	0.3117468806
145	0.9223057644	0.3103996457
146	0.9223057644	0.3090966264
147	0.9210526316	0.3068490196
148	0.9210526316	0.3057951096
149	0.9248120301	0.304747301
150	0.9235588972	0.303455025
151	0.9260651629	0.302231518
152	0.9248120301	0.301216261
153	0.9273182957	0.3000718264
154	0.9273182957	0.2988183164
155	0.9285714286	0.2975330468
156	0.9298245614	0.2962181372
157	0.9298245614	0.2950840701
158	0.9298245614	0.2936779873
159	0.9298245614	0.2916322346
160	0.9310776942	0.2896970317
161	0.9298245614	0.2882271045
162	0.9323308271	0.2870867933
163	0.9310776942	0.2853357975
164	0.9298245614	0.2843947299
165	0.9298245614	0.2832160441
166	0.9298245614	0.2821778166
167	0.9310776942	0.2811389879
168	0.9323308271	0.2805922169
169	0.9335839599	0.2786601191
170	0.9335839599	0.277533564
171	0.9348370927	0.2768376049
172	0.9360902256	0.2758869354
173	0.9360902256	0.2752647872
174	0.9373433584	0.2744595903
175	0.9373433584	0.2732391302
176	0.9373433584	0.2715328071
177	0.9385964912	0.2702616529
178	0.9385964912	0.2689036781
179	0.9411027569	0.2671497608
180	0.9411027569	0.2665269783
181	0.9411027569	0.2652453613
182	0.9411027569	0.2644636639
183	0.9411027569	0.2635647983
184	0.9411027569	0.2627260965
185	0.9411027569	0.2610716542
186	0.9411027569	0.2601152046
187	0.9411027569	0.2595731337
188	0.9411027569	0.2582936645
189	0.9411027569	0.2571542594
190	0.9411027569	0.2562637336
191	0.9411027569	0.2548816877
192	0.9411027569	0.2540119074
193	0.9423558897	0.2532294644
194	0.9473684211	0.2519936572
195	0.9473684211	0.2506954084
196	0.9448621554	0.2493078764
197	0.9448621554	0.2480317665
198	0.9461152882	0.2471934538
199	0.9473684211	0.2459274725
200	0.9473684211	0.2445632172
201	0.9486215539	0.2437729612
202	0.9473684211	0.2434544881
203	0.9498746867	0.2421573151
204	0.9473684211	0.2416550646
205	0.9473684211	0.2408007903
206	0.9461152882	0.2398762933
207	0.9486215539	0.2392104106
208	0.9498746867	0.2381619237
209	0.9486215539	0.237051022
210	0.9523809524	0.2359011597
211	0.9523809524	0.2349101859
212	0.9523809524	0.2342157801
213	0.9511278195	0.2335206167
214	0.9511278195	0.232167426
215	0.9511278195	0.2312329705
216	0.9511278195	0.230611211
217	0.9523809524	0.2298877472
218	0.9536340852	0.2292409062
219	0.9536340852	0.2281634078
220	0.9536340852	0.2274028567
221	0.9536340852	0.2258728387
222	0.9536340852	0.2251028118
223	0.9536340852	0.2245715617
224	0.9536340852	0.2239032377
225	0.9536340852	0.2231435302
226	0.954887218	0.2220818106
227	0.954887218	0.2215467328
228	0.954887218	0.2204692809
229	0.954887218	0.2197885535
