iter	Passed	Remaining
0	2	3097
1	4	2707
2	6	2540
3	8	2459
4	10	2412
5	11	2382
6	13	2365
7	15	2353
8	17	2339
9	19	2326
10	21	2314
11	23	2311
12	25	2305
13	27	2296
14	29	2295
15	30	2291
16	32	2288
17	34	2280
18	36	2275
19	38	2268
20	40	2263
21	42	2258
22	44	2258
23	46	2258
24	48	2262
25	50	2262
26	52	2266
27	54	2269
28	56	2272
29	58	2275
30	60	2284
31	62	2288
32	64	2288
33	66	2287
34	68	2284
35	70	2284
36	72	2284
37	74	2284
38	76	2284
39	78	2284
40	80	2283
41	82	2287
42	85	2287
43	87	2285
44	89	2284
45	91	2283
46	93	2283
47	95	2282
48	97	2282
49	99	2282
50	101	2280
51	103	2281
52	105	2280
53	107	2280
54	109	2279
55	111	2278
56	113	2275
57	115	2273
58	117	2272
59	119	2272
60	121	2269
61	123	2267
62	125	2266
63	127	2265
64	129	2265
65	131	2265
66	133	2264
67	135	2263
68	137	2261
69	139	2259
70	141	2257
71	144	2257
72	146	2254
73	148	2254
74	150	2252
75	152	2251
76	154	2250
77	156	2248
78	158	2246
79	160	2244
80	162	2242
81	164	2242
82	166	2241
83	168	2239
84	170	2238
85	172	2237
86	174	2235
87	176	2233
88	178	2232
89	180	2231
90	183	2234
91	185	2232
92	187	2231
93	189	2230
94	191	2228
95	193	2230
96	195	2227
97	198	2230
98	200	2227
99	202	2226
100	204	2225
101	207	2228
102	209	2226
103	211	2227
104	213	2230
105	215	2228
106	218	2229
107	220	2229
108	222	2228
109	225	2232
110	228	2238
111	230	2239
112	232	2239
113	235	2238
114	237	2238
115	239	2237
116	241	2237
117	244	2238
118	246	2235
119	248	2238
120	251	2240
121	254	2245
122	256	2244
123	258	2246
124	261	2246
125	263	2245
126	266	2249
127	268	2247
128	270	2249
129	273	2248
130	275	2247
131	278	2250
132	280	2248
133	283	2253
134	285	2251
135	287	2250
136	290	2251
137	292	2248
138	294	2251
139	297	2250
140	299	2252
141	302	2251
142	304	2250
143	307	2252
144	309	2250
145	312	2252
146	314	2251
147	317	2254
148	319	2252
149	321	2250
150	323	2250
151	326	2248
152	328	2249
153	331	2248
154	333	2247
155	335	2248
156	338	2246
157	341	2249
158	343	2249
159	346	2250
160	348	2248
161	351	2249
162	353	2248
163	355	2247
164	358	2249
165	360	2247
166	363	2247
167	365	2247
168	367	2244
169	370	2244
170	372	2242
171	375	2245
172	378	2244
173	380	2241
174	382	2240
175	384	2238
176	387	2239
177	389	2237
178	391	2235
179	394	2233
180	396	2231
181	398	2231
182	401	2229
183	403	2229
184	406	2228
185	408	2225
186	411	2227
187	413	2225
188	416	2226
189	418	2225
190	420	2222
191	423	2222
192	425	2219
193	427	2218
194	429	2215
195	431	2212
196	434	2211
197	436	2208
198	438	2206
199	441	2205
200	443	2202
201	445	2200
202	447	2198
203	449	2195
204	452	2195
205	454	2194
206	457	2194
207	459	2192
208	462	2191
209	464	2190
210	466	2188
211	469	2186
212	471	2184
213	473	2182
214	476	2180
215	478	2178
216	481	2180
217	483	2178
218	486	2178
219	488	2176
220	490	2173
221	493	2172
222	495	2170
223	497	2169
224	499	2166
225	502	2163
226	504	2162
227	506	2159
228	508	2156
229	510	2154
230	512	2151
231	515	2149
232	517	2146
233	519	2144
234	521	2142
235	523	2140
236	525	2137
237	528	2135
238	530	2132
239	532	2130
240	534	2127
241	536	2124
242	538	2122
243	540	2119
244	543	2116
245	545	2114
246	547	2111
247	549	2108
248	551	2105
249	553	2103
250	555	2100
251	557	2097
252	559	2095
253	561	2092
254	563	2089
255	565	2086
256	567	2083
257	569	2081
258	572	2078
259	574	2075
260	576	2073
261	578	2070
262	580	2067
263	582	2065
264	584	2062
265	586	2059
266	588	2057
267	590	2054
268	592	2051
269	594	2048
270	596	2046
271	599	2044
272	601	2041
273	603	2039
274	605	2036
275	607	2033
276	609	2031
277	611	2029
278	613	2026
279	616	2024
280	618	2021
281	619	2018
282	622	2015
283	624	2012
284	626	2009
285	628	2007
286	630	2004
287	632	2002
288	634	2000
289	636	1997
290	638	1994
291	640	1991
292	642	1988
293	644	1986
294	646	1983
295	648	1980
296	650	1978
297	652	1975
298	654	1973
299	656	1970
300	658	1967
301	660	1965
302	663	1962
303	665	1960
304	667	1957
305	669	1955
306	671	1953
307	673	1950
308	675	1948
309	677	1945
310	679	1943
311	681	1940
312	683	1938
313	686	1936
314	688	1933
315	690	1931
316	692	1928
317	694	1926
318	696	1923
319	698	1920
320	700	1917
321	702	1915
322	704	1913
323	706	1910
324	708	1908
325	710	1905
326	712	1903
327	714	1900
328	717	1898
329	719	1896
330	721	1893
331	723	1891
332	725	1888
